"region","contents","quarter","09332: Transfers of holiday properties with building, free market sale, by region, contents and quarter"
"01 Østfold","Purchase price, transfer of lease (NOK 1 000)","2013K2",1579
"01 Østfold","Purchase price, transfer of lease (NOK 1 000)","2013K3",1498
"01 Østfold","Purchase price, transfer of lease (NOK 1 000)","2013K4",1286
"01 Østfold","Purchase price, transfer of lease (NOK 1 000)","2014K1",1145
"01 Østfold","Purchase price, transfer of lease (NOK 1 000)","2014K2",1750
"01 Østfold","Purchase price, transfer of lease (NOK 1 000)","2014K3",1711
"01 Østfold","Purchase price, transfer of lease (NOK 1 000)","2014K4",1482
"01 Østfold","Purchase price, transfer of lease (NOK 1 000)","2015K1",1316
"01 Østfold","Purchase price, transfer of lease (NOK 1 000)","2015K2",2158
"01 Østfold","Purchase price, transfer of lease (NOK 1 000)","2015K3",1977
"01 Østfold","Purchase price, transfer of lease (NOK 1 000)","2015K4",2161
"01 Østfold","Purchase price, transfer of lease (NOK 1 000)","2016K1",1275
"01 Østfold","Purchase price, transfer of lease (NOK 1 000)","2016K2",2157
"01 Østfold","Purchase price, transfer of lease (NOK 1 000)","2016K3",1847
"01 Østfold","Purchase price, transfer of lease (NOK 1 000)","2016K4",1735
"01 Østfold","Purchase price, transfer of lease (NOK 1 000)","2017K1",2275
"01 Østfold","Purchase price, transfer of lease (NOK 1 000)","2017K2",1825
"01 Østfold","Purchase price, transfer of lease (NOK 1 000)","2017K3",2273
"01 Østfold","Purchase price, transfer of lease (NOK 1 000)","2017K4",1841
"01 Østfold","Purchase price, transfer of lease (NOK 1 000)","2018K1",2103
"01 Østfold","Purchase price, transfer of lease (NOK 1 000)","2018K2",2425
"01 Østfold","Purchase price, transfer of lease (NOK 1 000)","2018K3",2648
"01 Østfold","Purchase price, transfer of lease (NOK 1 000)","2018K4",1703
"01 Østfold","Purchase price, transfer of lease (NOK 1 000)","2019K1",2103
"01 Østfold","Purchase price, transfer of lease (NOK 1 000)","2019K2",2093
"01 Østfold","Purchase price, transfer of lease (NOK 1 000)","2019K3",2529
"02-03 Akershus and Oslo","Transfers, total","2000K1",70
"02-03 Akershus and Oslo","Transfers, total","2000K2",97
"02-03 Akershus and Oslo","Transfers, total","2000K3",198
"02-03 Akershus and Oslo","Transfers, total","2000K4",135
"02-03 Akershus and Oslo","Transfers, total","2001K1",62
"02-03 Akershus and Oslo","Transfers, total","2001K2",124
"02-03 Akershus and Oslo","Transfers, total","2001K3",171
"02-03 Akershus and Oslo","Transfers, total","2001K4",126
"02-03 Akershus and Oslo","Transfers, total","2002K1",67
"02-03 Akershus and Oslo","Transfers, total","2002K2",132
"02-03 Akershus and Oslo","Transfers, total","2002K3",153
"02-03 Akershus and Oslo","Transfers, total","2002K4",134
"02-03 Akershus and Oslo","Transfers, total","2003K1",52
"02-03 Akershus and Oslo","Transfers, total","2003K2",98
"02-03 Akershus and Oslo","Transfers, total","2003K3",171
"02-03 Akershus and Oslo","Transfers, total","2003K4",136
"02-03 Akershus and Oslo","Transfers, total","2004K1",63
"02-03 Akershus and Oslo","Transfers, total","2004K2",116
"02-03 Akershus and Oslo","Transfers, total","2004K3",171
"02-03 Akershus and Oslo","Transfers, total","2004K4",132
"02-03 Akershus and Oslo","Transfers, total","2005K1",53
"02-03 Akershus and Oslo","Transfers, total","2005K2",139
"02-03 Akershus and Oslo","Transfers, total","2005K3",181
"02-03 Akershus and Oslo","Transfers, total","2005K4",144
"02-03 Akershus and Oslo","Transfers, total","2006K1",79
"02-03 Akershus and Oslo","Transfers, total","2006K2",83
"02-03 Akershus and Oslo","Transfers, total","2006K3",174
"02-03 Akershus and Oslo","Transfers, total","2006K4",126
"02-03 Akershus and Oslo","Transfers, total","2007K1",82
"02-03 Akershus and Oslo","Transfers, total","2007K2",122
"02-03 Akershus and Oslo","Transfers, total","2007K3",176
"02-03 Akershus and Oslo","Transfers, total","2007K4",137
"02-03 Akershus and Oslo","Transfers, total","2008K1",62
"02-03 Akershus and Oslo","Transfers, total","2008K2",73
"02-03 Akershus and Oslo","Transfers, total","2008K3",123
"02-03 Akershus and Oslo","Transfers, total","2008K4",91
"02-03 Akershus and Oslo","Transfers, total","2009K1",44
"02-03 Akershus and Oslo","Transfers, total","2009K2",73
"02-03 Akershus and Oslo","Transfers, total","2009K3",111
"02-03 Akershus and Oslo","Transfers, total","2009K4",94
"02-03 Akershus and Oslo","Transfers, total","2010K1",40
"02-03 Akershus and Oslo","Transfers, total","2010K2",59
"02-03 Akershus and Oslo","Transfers, total","2010K3",112
"02-03 Akershus and Oslo","Transfers, total","2010K4",115
"02-03 Akershus and Oslo","Transfers, total","2011K1",47
"02-03 Akershus and Oslo","Transfers, total","2011K2",71
"02-03 Akershus and Oslo","Transfers, total","2011K3",151
"02-03 Akershus and Oslo","Transfers, total","2011K4",102
"02-03 Akershus and Oslo","Transfers, total","2012K1",48
"02-03 Akershus and Oslo","Transfers, total","2012K2",93
"02-03 Akershus and Oslo","Transfers, total","2012K3",139
"02-03 Akershus and Oslo","Transfers, total","2012K4",94
"02-03 Akershus and Oslo","Transfers, total","2013K1",58
"02-03 Akershus and Oslo","Transfers, total","2013K2",81
"02-03 Akershus and Oslo","Transfers, total","2013K3",129
"02-03 Akershus and Oslo","Transfers, total","2013K4",85
"02-03 Akershus and Oslo","Transfers, total","2014K1",56
"02-03 Akershus and Oslo","Transfers, total","2014K2",90
"02-03 Akershus and Oslo","Transfers, total","2014K3",121
"02-03 Akershus and Oslo","Transfers, total","2014K4",92
"02-03 Akershus and Oslo","Transfers, total","2015K1",54
"02-03 Akershus and Oslo","Transfers, total","2015K2",107
"02-03 Akershus and Oslo","Transfers, total","2015K3",137
"02-03 Akershus and Oslo","Transfers, total","2015K4",112
"02-03 Akershus and Oslo","Transfers, total","2016K1",62
"02-03 Akershus and Oslo","Transfers, total","2016K2",105
"02-03 Akershus and Oslo","Transfers, total","2016K3",153
"02-03 Akershus and Oslo","Transfers, total","2016K4",103
"02-03 Akershus and Oslo","Transfers, total","2017K1",66
"02-03 Akershus and Oslo","Transfers, total","2017K2",131
"02-03 Akershus and Oslo","Transfers, total","2017K3",125
"02-03 Akershus and Oslo","Transfers, total","2017K4",98
"02-03 Akershus and Oslo","Transfers, total","2018K1",53
"02-03 Akershus and Oslo","Transfers, total","2018K2",65
"02-03 Akershus and Oslo","Transfers, total","2018K3",160
"02-03 Akershus and Oslo","Transfers, total","2018K4",87
"02-03 Akershus and Oslo","Transfers, total","2019K1",57
"02-03 Akershus and Oslo","Transfers, total","2019K2",88
"02-03 Akershus and Oslo","Transfers, total","2019K3",147
"02-03 Akershus and Oslo","Total purchase price (NOK million)","2000K1",42
"02-03 Akershus and Oslo","Total purchase price (NOK million)","2000K2",50
"02-03 Akershus and Oslo","Total purchase price (NOK million)","2000K3",114
"02-03 Akershus and Oslo","Total purchase price (NOK million)","2000K4",85
"02-03 Akershus and Oslo","Total purchase price (NOK million)","2001K1",43
"02-03 Akershus and Oslo","Total purchase price (NOK million)","2001K2",79
"02-03 Akershus and Oslo","Total purchase price (NOK million)","2001K3",111
"02-03 Akershus and Oslo","Total purchase price (NOK million)","2001K4",91
"02-03 Akershus and Oslo","Total purchase price (NOK million)","2002K1",47
"02-03 Akershus and Oslo","Total purchase price (NOK million)","2002K2",82
"02-03 Akershus and Oslo","Total purchase price (NOK million)","2002K3",109
"02-03 Akershus and Oslo","Total purchase price (NOK million)","2002K4",101
"02-03 Akershus and Oslo","Total purchase price (NOK million)","2003K1",31
"02-03 Akershus and Oslo","Total purchase price (NOK million)","2003K2",65
"02-03 Akershus and Oslo","Total purchase price (NOK million)","2003K3",112
"02-03 Akershus and Oslo","Total purchase price (NOK million)","2003K4",98
"02-03 Akershus and Oslo","Total purchase price (NOK million)","2004K1",36
"02-03 Akershus and Oslo","Total purchase price (NOK million)","2004K2",83
"02-03 Akershus and Oslo","Total purchase price (NOK million)","2004K3",133
"02-03 Akershus and Oslo","Total purchase price (NOK million)","2004K4",108
"02-03 Akershus and Oslo","Total purchase price (NOK million)","2005K1",36
"02-03 Akershus and Oslo","Total purchase price (NOK million)","2005K2",107
"02-03 Akershus and Oslo","Total purchase price (NOK million)","2005K3",147
"02-03 Akershus and Oslo","Total purchase price (NOK million)","2005K4",145
"02-03 Akershus and Oslo","Total purchase price (NOK million)","2006K1",64
"02-03 Akershus and Oslo","Total purchase price (NOK million)","2006K2",82
"02-03 Akershus and Oslo","Total purchase price (NOK million)","2006K3",177
"02-03 Akershus and Oslo","Total purchase price (NOK million)","2006K4",131
"02-03 Akershus and Oslo","Total purchase price (NOK million)","2007K1",79
"02-03 Akershus and Oslo","Total purchase price (NOK million)","2007K2",116
"02-03 Akershus and Oslo","Total purchase price (NOK million)","2007K3",242
"02-03 Akershus and Oslo","Total purchase price (NOK million)","2007K4",178
"02-03 Akershus and Oslo","Total purchase price (NOK million)","2008K1",89
"02-03 Akershus and Oslo","Total purchase price (NOK million)","2008K2",85
"02-03 Akershus and Oslo","Total purchase price (NOK million)","2008K3",224
"02-03 Akershus and Oslo","Total purchase price (NOK million)","2008K4",133
"02-03 Akershus and Oslo","Total purchase price (NOK million)","2009K1",82
"02-03 Akershus and Oslo","Total purchase price (NOK million)","2009K2",78
"02-03 Akershus and Oslo","Total purchase price (NOK million)","2009K3",123
"02-03 Akershus and Oslo","Total purchase price (NOK million)","2009K4",117
"02-03 Akershus and Oslo","Total purchase price (NOK million)","2010K1",38
"02-03 Akershus and Oslo","Total purchase price (NOK million)","2010K2",90
"02-03 Akershus and Oslo","Total purchase price (NOK million)","2010K3",192
"02-03 Akershus and Oslo","Total purchase price (NOK million)","2010K4",162
"02-03 Akershus and Oslo","Total purchase price (NOK million)","2011K1",76
"02-03 Akershus and Oslo","Total purchase price (NOK million)","2011K2",107
"02-03 Akershus and Oslo","Total purchase price (NOK million)","2011K3",250
"02-03 Akershus and Oslo","Total purchase price (NOK million)","2011K4",186
"02-03 Akershus and Oslo","Total purchase price (NOK million)","2012K1",71
"02-03 Akershus and Oslo","Total purchase price (NOK million)","2012K2",150
"02-03 Akershus and Oslo","Total purchase price (NOK million)","2012K3",198
"02-03 Akershus and Oslo","Total purchase price (NOK million)","2012K4",154
"02-03 Akershus and Oslo","Total purchase price (NOK million)","2013K1",72
"02-03 Akershus and Oslo","Total purchase price (NOK million)","2013K2",122
"02-03 Akershus and Oslo","Total purchase price (NOK million)","2013K3",217
"02-03 Akershus and Oslo","Total purchase price (NOK million)","2013K4",114
"02-03 Akershus and Oslo","Total purchase price (NOK million)","2014K1",67
"02-03 Akershus and Oslo","Total purchase price (NOK million)","2014K2",136
"02-03 Akershus and Oslo","Total purchase price (NOK million)","2014K3",196
"02-03 Akershus and Oslo","Total purchase price (NOK million)","2014K4",144
"02-03 Akershus and Oslo","Total purchase price (NOK million)","2015K1",94
"02-03 Akershus and Oslo","Total purchase price (NOK million)","2015K2",168
"02-03 Akershus and Oslo","Total purchase price (NOK million)","2015K3",226
"02-03 Akershus and Oslo","Total purchase price (NOK million)","2015K4",187
"02-03 Akershus and Oslo","Total purchase price (NOK million)","2016K1",128
"02-03 Akershus and Oslo","Total purchase price (NOK million)","2016K2",218
"02-03 Akershus and Oslo","Total purchase price (NOK million)","2016K3",354
"02-03 Akershus and Oslo","Total purchase price (NOK million)","2016K4",193
"02-03 Akershus and Oslo","Total purchase price (NOK million)","2017K1",106
"02-03 Akershus and Oslo","Total purchase price (NOK million)","2017K2",275
"02-03 Akershus and Oslo","Total purchase price (NOK million)","2017K3",331
"02-03 Akershus and Oslo","Total purchase price (NOK million)","2017K4",180
"02-03 Akershus and Oslo","Total purchase price (NOK million)","2018K1",137
"02-03 Akershus and Oslo","Total purchase price (NOK million)","2018K2",172
"02-03 Akershus and Oslo","Total purchase price (NOK million)","2018K3",385
"02-03 Akershus and Oslo","Total purchase price (NOK million)","2018K4",183
"02-03 Akershus and Oslo","Total purchase price (NOK million)","2019K1",119
"02-03 Akershus and Oslo","Total purchase price (NOK million)","2019K2",239
"02-03 Akershus and Oslo","Total purchase price (NOK million)","2019K3",306
"02-03 Akershus and Oslo","Purchase price per transfer (NOK 1 000)","2000K1",601
"02-03 Akershus and Oslo","Purchase price per transfer (NOK 1 000)","2000K2",518
"02-03 Akershus and Oslo","Purchase price per transfer (NOK 1 000)","2000K3",578
"02-03 Akershus and Oslo","Purchase price per transfer (NOK 1 000)","2000K4",631
"02-03 Akershus and Oslo","Purchase price per transfer (NOK 1 000)","2001K1",687
"02-03 Akershus and Oslo","Purchase price per transfer (NOK 1 000)","2001K2",635
"02-03 Akershus and Oslo","Purchase price per transfer (NOK 1 000)","2001K3",647
"02-03 Akershus and Oslo","Purchase price per transfer (NOK 1 000)","2001K4",723
"02-03 Akershus and Oslo","Purchase price per transfer (NOK 1 000)","2002K1",695
"02-03 Akershus and Oslo","Purchase price per transfer (NOK 1 000)","2002K2",618
"02-03 Akershus and Oslo","Purchase price per transfer (NOK 1 000)","2002K3",711
"02-03 Akershus and Oslo","Purchase price per transfer (NOK 1 000)","2002K4",752
"02-03 Akershus and Oslo","Purchase price per transfer (NOK 1 000)","2003K1",605
"02-03 Akershus and Oslo","Purchase price per transfer (NOK 1 000)","2003K2",660
"02-03 Akershus and Oslo","Purchase price per transfer (NOK 1 000)","2003K3",654
"02-03 Akershus and Oslo","Purchase price per transfer (NOK 1 000)","2003K4",719
"02-03 Akershus and Oslo","Purchase price per transfer (NOK 1 000)","2004K1",564
"02-03 Akershus and Oslo","Purchase price per transfer (NOK 1 000)","2004K2",717
"02-03 Akershus and Oslo","Purchase price per transfer (NOK 1 000)","2004K3",777
"02-03 Akershus and Oslo","Purchase price per transfer (NOK 1 000)","2004K4",820
"02-03 Akershus and Oslo","Purchase price per transfer (NOK 1 000)","2005K1",683
"02-03 Akershus and Oslo","Purchase price per transfer (NOK 1 000)","2005K2",767
"02-03 Akershus and Oslo","Purchase price per transfer (NOK 1 000)","2005K3",815
"02-03 Akershus and Oslo","Purchase price per transfer (NOK 1 000)","2005K4",1005
"02-03 Akershus and Oslo","Purchase price per transfer (NOK 1 000)","2006K1",815
"02-03 Akershus and Oslo","Purchase price per transfer (NOK 1 000)","2006K2",985
"02-03 Akershus and Oslo","Purchase price per transfer (NOK 1 000)","2006K3",1017
"02-03 Akershus and Oslo","Purchase price per transfer (NOK 1 000)","2006K4",1040
"02-03 Akershus and Oslo","Purchase price per transfer (NOK 1 000)","2007K1",966
"02-03 Akershus and Oslo","Purchase price per transfer (NOK 1 000)","2007K2",950
"02-03 Akershus and Oslo","Purchase price per transfer (NOK 1 000)","2007K3",1375
"02-03 Akershus and Oslo","Purchase price per transfer (NOK 1 000)","2007K4",1300
"02-03 Akershus and Oslo","Purchase price per transfer (NOK 1 000)","2008K1",1431
"02-03 Akershus and Oslo","Purchase price per transfer (NOK 1 000)","2008K2",1160
"02-03 Akershus and Oslo","Purchase price per transfer (NOK 1 000)","2008K3",1821
"02-03 Akershus and Oslo","Purchase price per transfer (NOK 1 000)","2008K4",1460
"02-03 Akershus and Oslo","Purchase price per transfer (NOK 1 000)","2009K1",1865
"02-03 Akershus and Oslo","Purchase price per transfer (NOK 1 000)","2009K2",1074
"02-03 Akershus and Oslo","Purchase price per transfer (NOK 1 000)","2009K3",1105
"02-03 Akershus and Oslo","Purchase price per transfer (NOK 1 000)","2009K4",1248
"02-03 Akershus and Oslo","Purchase price per transfer (NOK 1 000)","2010K1",961
"02-03 Akershus and Oslo","Purchase price per transfer (NOK 1 000)","2010K2",1522
"02-03 Akershus and Oslo","Purchase price per transfer (NOK 1 000)","2010K3",1712
"02-03 Akershus and Oslo","Purchase price per transfer (NOK 1 000)","2010K4",1408
"02-03 Akershus and Oslo","Purchase price per transfer (NOK 1 000)","2011K1",1615
"02-03 Akershus and Oslo","Purchase price per transfer (NOK 1 000)","2011K2",1508
"02-03 Akershus and Oslo","Purchase price per transfer (NOK 1 000)","2011K3",1655
"02-03 Akershus and Oslo","Purchase price per transfer (NOK 1 000)","2011K4",1823
"02-03 Akershus and Oslo","Purchase price per transfer (NOK 1 000)","2012K1",1477
"02-03 Akershus and Oslo","Purchase price per transfer (NOK 1 000)","2012K2",1610
"02-03 Akershus and Oslo","Purchase price per transfer (NOK 1 000)","2012K3",1426
"02-03 Akershus and Oslo","Purchase price per transfer (NOK 1 000)","2012K4",1637
"02-03 Akershus and Oslo","Purchase price per transfer (NOK 1 000)","2013K1",1239
"02-03 Akershus and Oslo","Purchase price per transfer (NOK 1 000)","2013K2",1505
"02-03 Akershus and Oslo","Purchase price per transfer (NOK 1 000)","2013K3",1684
"02-03 Akershus and Oslo","Purchase price per transfer (NOK 1 000)","2013K4",1341
"02-03 Akershus and Oslo","Purchase price per transfer (NOK 1 000)","2014K1",1192
"02-03 Akershus and Oslo","Purchase price per transfer (NOK 1 000)","2014K2",1512
"02-03 Akershus and Oslo","Purchase price per transfer (NOK 1 000)","2014K3",1616
"02-03 Akershus and Oslo","Purchase price per transfer (NOK 1 000)","2014K4",1564
"02-03 Akershus and Oslo","Purchase price per transfer (NOK 1 000)","2015K1",1732
"02-03 Akershus and Oslo","Purchase price per transfer (NOK 1 000)","2015K2",1575
"02-03 Akershus and Oslo","Purchase price per transfer (NOK 1 000)","2015K3",1648
"02-03 Akershus and Oslo","Purchase price per transfer (NOK 1 000)","2015K4",1666
"02-03 Akershus and Oslo","Purchase price per transfer (NOK 1 000)","2016K1",2067
"02-03 Akershus and Oslo","Purchase price per transfer (NOK 1 000)","2016K2",2074
"02-03 Akershus and Oslo","Purchase price per transfer (NOK 1 000)","2016K3",2317
"02-03 Akershus and Oslo","Purchase price per transfer (NOK 1 000)","2016K4",1874
"02-03 Akershus and Oslo","Purchase price per transfer (NOK 1 000)","2017K1",1605
"02-03 Akershus and Oslo","Purchase price per transfer (NOK 1 000)","2017K2",2098
"02-03 Akershus and Oslo","Purchase price per transfer (NOK 1 000)","2017K3",2645
"02-03 Akershus and Oslo","Purchase price per transfer (NOK 1 000)","2017K4",1836
"02-03 Akershus and Oslo","Purchase price per transfer (NOK 1 000)","2018K1",2586
"02-03 Akershus and Oslo","Purchase price per transfer (NOK 1 000)","2018K2",2646
"02-03 Akershus and Oslo","Purchase price per transfer (NOK 1 000)","2018K3",2406
"02-03 Akershus and Oslo","Purchase price per transfer (NOK 1 000)","2018K4",2106
"02-03 Akershus and Oslo","Purchase price per transfer (NOK 1 000)","2019K1",2093
"02-03 Akershus and Oslo","Purchase price per transfer (NOK 1 000)","2019K2",2714
"02-03 Akershus and Oslo","Purchase price per transfer (NOK 1 000)","2019K3",2084
"02-03 Akershus and Oslo","Transfers of title","2000K1",56
"02-03 Akershus and Oslo","Transfers of title","2000K2",70
"02-03 Akershus and Oslo","Transfers of title","2000K3",142
"02-03 Akershus and Oslo","Transfers of title","2000K4",101
"02-03 Akershus and Oslo","Transfers of title","2001K1",45
"02-03 Akershus and Oslo","Transfers of title","2001K2",107
"02-03 Akershus and Oslo","Transfers of title","2001K3",134
"02-03 Akershus and Oslo","Transfers of title","2001K4",111
"02-03 Akershus and Oslo","Transfers of title","2002K1",55
"02-03 Akershus and Oslo","Transfers of title","2002K2",101
"02-03 Akershus and Oslo","Transfers of title","2002K3",127
"02-03 Akershus and Oslo","Transfers of title","2002K4",109
"02-03 Akershus and Oslo","Transfers of title","2003K1",43
"02-03 Akershus and Oslo","Transfers of title","2003K2",78
"02-03 Akershus and Oslo","Transfers of title","2003K3",140
"02-03 Akershus and Oslo","Transfers of title","2003K4",115
"02-03 Akershus and Oslo","Transfers of title","2004K1",57
"02-03 Akershus and Oslo","Transfers of title","2004K2",98
"02-03 Akershus and Oslo","Transfers of title","2004K3",146
"02-03 Akershus and Oslo","Transfers of title","2004K4",108
"02-03 Akershus and Oslo","Transfers of title","2005K1",44
"02-03 Akershus and Oslo","Transfers of title","2005K2",115
"02-03 Akershus and Oslo","Transfers of title","2005K3",154
"02-03 Akershus and Oslo","Transfers of title","2005K4",122
"02-03 Akershus and Oslo","Transfers of title","2006K1",66
"02-03 Akershus and Oslo","Transfers of title","2006K2",68
"02-03 Akershus and Oslo","Transfers of title","2006K3",135
"02-03 Akershus and Oslo","Transfers of title","2006K4",105
"02-03 Akershus and Oslo","Transfers of title","2007K1",65
"02-03 Akershus and Oslo","Transfers of title","2007K2",109
"02-03 Akershus and Oslo","Transfers of title","2007K3",155
"02-03 Akershus and Oslo","Transfers of title","2007K4",108
"02-03 Akershus and Oslo","Transfers of title","2008K1",49
"02-03 Akershus and Oslo","Transfers of title","2008K2",65
"02-03 Akershus and Oslo","Transfers of title","2008K3",99
"02-03 Akershus and Oslo","Transfers of title","2008K4",80
"02-03 Akershus and Oslo","Transfers of title","2009K1",40
"02-03 Akershus and Oslo","Transfers of title","2009K2",64
"02-03 Akershus and Oslo","Transfers of title","2009K3",96
"02-03 Akershus and Oslo","Transfers of title","2009K4",84
"02-03 Akershus and Oslo","Transfers of title","2010K1",33
"02-03 Akershus and Oslo","Transfers of title","2010K2",55
"02-03 Akershus and Oslo","Transfers of title","2010K3",95
"02-03 Akershus and Oslo","Transfers of title","2010K4",99
"02-03 Akershus and Oslo","Transfers of title","2011K1",38
"02-03 Akershus and Oslo","Transfers of title","2011K2",67
"02-03 Akershus and Oslo","Transfers of title","2011K3",124
"02-03 Akershus and Oslo","Transfers of title","2011K4",87
"02-03 Akershus and Oslo","Transfers of title","2012K1",41
"02-03 Akershus and Oslo","Transfers of title","2012K2",78
"02-03 Akershus and Oslo","Transfers of title","2012K3",120
"02-03 Akershus and Oslo","Transfers of title","2012K4",83
"02-03 Akershus and Oslo","Transfers of title","2013K1",49
"02-03 Akershus and Oslo","Transfers of title","2013K2",70
"02-03 Akershus and Oslo","Transfers of title","2013K3",115
"02-03 Akershus and Oslo","Transfers of title","2013K4",79
"02-03 Akershus and Oslo","Transfers of title","2014K1",50
"02-03 Akershus and Oslo","Transfers of title","2014K2",72
"02-03 Akershus and Oslo","Transfers of title","2014K3",98
"02-03 Akershus and Oslo","Transfers of title","2014K4",79
"02-03 Akershus and Oslo","Transfers of title","2015K1",47
"02-03 Akershus and Oslo","Transfers of title","2015K2",89
"02-03 Akershus and Oslo","Transfers of title","2015K3",116
"02-03 Akershus and Oslo","Transfers of title","2015K4",103
"02-03 Akershus and Oslo","Transfers of title","2016K1",58
"02-03 Akershus and Oslo","Transfers of title","2016K2",95
"02-03 Akershus and Oslo","Transfers of title","2016K3",137
"02-03 Akershus and Oslo","Transfers of title","2016K4",93
"02-03 Akershus and Oslo","Transfers of title","2017K1",61
"02-03 Akershus and Oslo","Transfers of title","2017K2",118
"02-03 Akershus and Oslo","Transfers of title","2017K3",108
"02-03 Akershus and Oslo","Transfers of title","2017K4",86
"02-03 Akershus and Oslo","Transfers of title","2018K1",52
"02-03 Akershus and Oslo","Transfers of title","2018K2",58
"02-03 Akershus and Oslo","Transfers of title","2018K3",145
"02-03 Akershus and Oslo","Transfers of title","2018K4",75
"02-03 Akershus and Oslo","Transfers of title","2019K1",55
"02-03 Akershus and Oslo","Transfers of title","2019K2",81
"02-03 Akershus and Oslo","Transfers of title","2019K3",131
"02-03 Akershus and Oslo","Total purchase price, transfer of title (NOK million)","2000K1",37
"02-03 Akershus and Oslo","Total purchase price, transfer of title (NOK million)","2000K2",41
"02-03 Akershus and Oslo","Total purchase price, transfer of title (NOK million)","2000K3",84
"02-03 Akershus and Oslo","Total purchase price, transfer of title (NOK million)","2000K4",68
"02-03 Akershus and Oslo","Total purchase price, transfer of title (NOK million)","2001K1",37
"02-03 Akershus and Oslo","Total purchase price, transfer of title (NOK million)","2001K2",67
"02-03 Akershus and Oslo","Total purchase price, transfer of title (NOK million)","2001K3",92
"02-03 Akershus and Oslo","Total purchase price, transfer of title (NOK million)","2001K4",82
"02-03 Akershus and Oslo","Total purchase price, transfer of title (NOK million)","2002K1",42
"02-03 Akershus and Oslo","Total purchase price, transfer of title (NOK million)","2002K2",64
"02-03 Akershus and Oslo","Total purchase price, transfer of title (NOK million)","2002K3",88
"02-03 Akershus and Oslo","Total purchase price, transfer of title (NOK million)","2002K4",87
"02-03 Akershus and Oslo","Total purchase price, transfer of title (NOK million)","2003K1",26
"02-03 Akershus and Oslo","Total purchase price, transfer of title (NOK million)","2003K2",54
"02-03 Akershus and Oslo","Total purchase price, transfer of title (NOK million)","2003K3",90
"02-03 Akershus and Oslo","Total purchase price, transfer of title (NOK million)","2003K4",83
"02-03 Akershus and Oslo","Total purchase price, transfer of title (NOK million)","2004K1",33
"02-03 Akershus and Oslo","Total purchase price, transfer of title (NOK million)","2004K2",70
"02-03 Akershus and Oslo","Total purchase price, transfer of title (NOK million)","2004K3",117
"02-03 Akershus and Oslo","Total purchase price, transfer of title (NOK million)","2004K4",95
"02-03 Akershus and Oslo","Total purchase price, transfer of title (NOK million)","2005K1",30
"02-03 Akershus and Oslo","Total purchase price, transfer of title (NOK million)","2005K2",93
"02-03 Akershus and Oslo","Total purchase price, transfer of title (NOK million)","2005K3",128
"02-03 Akershus and Oslo","Total purchase price, transfer of title (NOK million)","2005K4",130
"02-03 Akershus and Oslo","Total purchase price, transfer of title (NOK million)","2006K1",52
"02-03 Akershus and Oslo","Total purchase price, transfer of title (NOK million)","2006K2",59
"02-03 Akershus and Oslo","Total purchase price, transfer of title (NOK million)","2006K3",139
"02-03 Akershus and Oslo","Total purchase price, transfer of title (NOK million)","2006K4",115
"02-03 Akershus and Oslo","Total purchase price, transfer of title (NOK million)","2007K1",62
"02-03 Akershus and Oslo","Total purchase price, transfer of title (NOK million)","2007K2",97
"02-03 Akershus and Oslo","Total purchase price, transfer of title (NOK million)","2007K3",217
"02-03 Akershus and Oslo","Total purchase price, transfer of title (NOK million)","2007K4",144
"02-03 Akershus and Oslo","Total purchase price, transfer of title (NOK million)","2008K1",77
"02-03 Akershus and Oslo","Total purchase price, transfer of title (NOK million)","2008K2",77
"02-03 Akershus and Oslo","Total purchase price, transfer of title (NOK million)","2008K3",192
"02-03 Akershus and Oslo","Total purchase price, transfer of title (NOK million)","2008K4",115
"02-03 Akershus and Oslo","Total purchase price, transfer of title (NOK million)","2009K1",76
"02-03 Akershus and Oslo","Total purchase price, transfer of title (NOK million)","2009K2",74
"02-03 Akershus and Oslo","Total purchase price, transfer of title (NOK million)","2009K3",102
"02-03 Akershus and Oslo","Total purchase price, transfer of title (NOK million)","2009K4",110
"02-03 Akershus and Oslo","Total purchase price, transfer of title (NOK million)","2010K1",35
"02-03 Akershus and Oslo","Total purchase price, transfer of title (NOK million)","2010K2",86
"02-03 Akershus and Oslo","Total purchase price, transfer of title (NOK million)","2010K3",171
"02-03 Akershus and Oslo","Total purchase price, transfer of title (NOK million)","2010K4",141
"02-03 Akershus and Oslo","Total purchase price, transfer of title (NOK million)","2011K1",66
"02-03 Akershus and Oslo","Total purchase price, transfer of title (NOK million)","2011K2",102
"02-03 Akershus and Oslo","Total purchase price, transfer of title (NOK million)","2011K3",203
"02-03 Akershus and Oslo","Total purchase price, transfer of title (NOK million)","2011K4",171
"02-03 Akershus and Oslo","Total purchase price, transfer of title (NOK million)","2012K1",59
"02-03 Akershus and Oslo","Total purchase price, transfer of title (NOK million)","2012K2",118
"02-03 Akershus and Oslo","Total purchase price, transfer of title (NOK million)","2012K3",173
"02-03 Akershus and Oslo","Total purchase price, transfer of title (NOK million)","2012K4",146
"02-03 Akershus and Oslo","Total purchase price, transfer of title (NOK million)","2013K1",66
"02-03 Akershus and Oslo","Total purchase price, transfer of title (NOK million)","2013K2",111
"02-03 Akershus and Oslo","Total purchase price, transfer of title (NOK million)","2013K3",194
"02-03 Akershus and Oslo","Total purchase price, transfer of title (NOK million)","2013K4",106
