"region","contents","quarter","09332: Transfers of holiday properties with building, free market sale, by region, contents and quarter"
"01 Østfold","Total purchase price (NOK million)","2009K1",96
"01 Østfold","Total purchase price (NOK million)","2009K2",162
"01 Østfold","Total purchase price (NOK million)","2009K3",287
"01 Østfold","Total purchase price (NOK million)","2009K4",183
"01 Østfold","Total purchase price (NOK million)","2010K1",76
"01 Østfold","Total purchase price (NOK million)","2010K2",208
"01 Østfold","Total purchase price (NOK million)","2010K3",302
"01 Østfold","Total purchase price (NOK million)","2010K4",198
"01 Østfold","Total purchase price (NOK million)","2011K1",71
"01 Østfold","Total purchase price (NOK million)","2011K2",227
"01 Østfold","Total purchase price (NOK million)","2011K3",371
"01 Østfold","Total purchase price (NOK million)","2011K4",169
"01 Østfold","Total purchase price (NOK million)","2012K1",78
"01 Østfold","Total purchase price (NOK million)","2012K2",271
"01 Østfold","Total purchase price (NOK million)","2012K3",361
"01 Østfold","Total purchase price (NOK million)","2012K4",208
"01 Østfold","Total purchase price (NOK million)","2013K1",122
"01 Østfold","Total purchase price (NOK million)","2013K2",210
"01 Østfold","Total purchase price (NOK million)","2013K3",334
"01 Østfold","Total purchase price (NOK million)","2013K4",153
"01 Østfold","Total purchase price (NOK million)","2014K1",64
"01 Østfold","Total purchase price (NOK million)","2014K2",290
"01 Østfold","Total purchase price (NOK million)","2014K3",388
"01 Østfold","Total purchase price (NOK million)","2014K4",241
"01 Østfold","Total purchase price (NOK million)","2015K1",97
"01 Østfold","Total purchase price (NOK million)","2015K2",356
"01 Østfold","Total purchase price (NOK million)","2015K3",420
"01 Østfold","Total purchase price (NOK million)","2015K4",235
"01 Østfold","Total purchase price (NOK million)","2016K1",129
"01 Østfold","Total purchase price (NOK million)","2016K2",399
"01 Østfold","Total purchase price (NOK million)","2016K3",389
"01 Østfold","Total purchase price (NOK million)","2016K4",322
"01 Østfold","Total purchase price (NOK million)","2017K1",143
"01 Østfold","Total purchase price (NOK million)","2017K2",396
"01 Østfold","Total purchase price (NOK million)","2017K3",489
"01 Østfold","Total purchase price (NOK million)","2017K4",244
"01 Østfold","Total purchase price (NOK million)","2018K1",102
"01 Østfold","Total purchase price (NOK million)","2018K2",358
"01 Østfold","Total purchase price (NOK million)","2018K3",516
"01 Østfold","Total purchase price (NOK million)","2018K4",239
"01 Østfold","Total purchase price (NOK million)","2019K1",131
"01 Østfold","Total purchase price (NOK million)","2019K2",397
"01 Østfold","Total purchase price (NOK million)","2019K3",502
"01 Østfold","Purchase price per transfer (NOK 1 000)","2000K1",469
