"Date ","Singles "
"2017.06.26 ",12
"2017.06.19 ",12
"2017.06.12 ",1
"2017.05.29 ",1
"2017.05.22 ",1
"2017.05.15 ",17
"2017.05.08 ",19
"2017.05.01 ",2
"2017.04.24 ",21
"2017.04.17 ",2
"2017.04.10 ",2
"2017.04.03 ",2
"2017.03.20 ",2
"2017.03.06 ",2
"2017.02.27 ",2
"2017.02.20 ",18
"2017.02.13 ",18
"2017.02.06 ",21
"2017.01.30 ",22
"2017.01.16 ",24
"2017.01.09 ",24
"2017.01.02 ",24
"2016.12.26 ",24
"2016.12.19 ",24
"2016.12.12 ",24
"2016.12.05 ",24
"2016.11.28 ",24
"2016.11.21 ",24
"2016.11.14 ",24
"2016.11.07 ",24
"2016.10.31 ",21
"2016.10.24 ",2
"2016.10.17 ",2
"2016.10.10 ",21
"2016.10.03 ",24
"2016.09.26 ",24
"2016.09.19 ",27
"2016.09.12 ",27
"2016.08.29 ",28
"2016.08.22 ",29
"2016.08.15 ",27
"2016.08.08 ",27
"2016.08.01 ",24
"2016.07.25 ",25
"2016.07.18 ",27
"2016.07.11 ",27
"2016.06.27 ",28
"2016.06.20 ",28
"2016.06.13 ",38
"2016.06.06 ",38
"2016.05.23 ",41
"2016.05.16 ",48
"2016.05.09 ",44
"2016.05.02 ",43
"2016.04.25 ",49
"2016.04.18 ",51
"2016.04.11 ",54
"2016.04.04 ",54
"2016.03.21 ",52
"2016.03.07 ",58
"2016.02.29 ",58
"2016.02.22 ",56
"2016.02.15 ",56
"2016.02.08 ",7
"2016.02.01 ",85
"2016.01.18 ",83
"2016.01.11 ",83
"2016.01.04 ",83
"2015.12.28 ",83
"2015.12.21 ",83
"2015.12.14 ",83
"2015.12.07 ",83
"2015.11.30 ",83
"2015.11.23 ",81
"2015.11.16 ",83
"2015.11.09 ",81
"2015.11.02 ",82
"2015.10.26 ",84
"2015.10.19 ",83
"2015.10.12 ",8
"2015.10.05 ",78
"2015.09.28 ",78
"2015.09.21 ",79
"2015.09.14 ",79
"2015.08.31 ",82
"2015.08.24 ",81
"2015.08.17 ",85
"2015.08.10 ",86
"2015.08.03 ",96
"2015.07.27 ",98
"2015.07.20 ",123
"2015.07.13 ",81
"2015.06.29 ",74
"2015.06.22 ",76
"2015.06.15 ",81
"2015.06.08 ",84
"2015.05.25 ",89
"2015.05.18 ",85
"2015.05.11 ",15
"2015.05.04 ",11
"2015.04.27 ",119
"2015.04.20 ",118
"2015.04.13 ",122
"2015.04.06 ",119
"2015.03.23 ",129
"2015.03.09 ",136
"2015.03.02 ",136
"2015.02.23 ",136
"2015.02.16 ",138
"2015.02.09 ",137
"2015.02.02 ",135
"2015.01.19 ",137
"2015.01.12 ",137
"2015.01.05 ",134
"2014.12.29 ",136
"2014.12.22 ",136
"2014.12.15 ",137
"2014.12.08 ",137
"2014.12.01 ",137
"2014.11.24 ",137
"2014.11.17 ",139
"2014.11.10 ",137
"2014.11.03 ",136
"2014.10.27 ",137
"2014.10.20 ",135
"2014.10.13 ",136
"2014.10.06 ",143
"2014.09.29 ",149
"2014.09.22 ",149
"2014.09.15 ",15
"2014.09.08 ",15
"2014.08.25 ",157
"2014.08.18 ",157
"2014.08.11 ",157
"2014.08.04 ",159
"2014.07.28 ",159
"2014.07.21 ",161
